Word,Meaning
A bed of roses,a phrase used to reference a situation that is easy or comfortable
A Priori,something that is believed to be true without actual reinforcement with facts or statistics
Aardvark,"a large, long-eared nocturnal animal that uses its long tongue to eat ants and termites"
Aback ,in amazement; shocked
Abaft,toward the stern; behind
Abandon,to stop caring and leave or to desert
Abase,to lower so as to hurt feelings
Abaser,someone who degrades or lowers someone
Abash,to humiliate someone and make them feel embarrassed or ashamed
Abate,to reduce in degree or intensity
Abatement,reduction or weakening or something
Abattoir,a place where animals are taken to slaughter
Abbess,the female superior of a community of nuns
Abbreviate,to shorten a word or phrase
Abdicate,to stop accepting a particular responsibility or obligation that you have
Abdominal,"related to the abdomen/stomach, or the part between the thorax and the pelvis"
Abduct,to grab an individual by trickery or force
Abecedarian,alphabetical
Aberrant,straying from the normal or right way
Aberration,"deviating from what is normal or desirable, not typical"
Abet,to encourage or support a behavior or action
Abeyance,a state of temporary disuse or suspension
Abhor,to reject something very strongly; hate
Abhorrence,a strong feeling of hate paired with a feeling of loathing
Abhorrent,causing or deserving strong dislike or hatred
Abide ,tolerate an unpleasant thing or person; endure
Ability,the skill or capability to do something
Abiotic,abiotic means something that is sterile; not from living organisms
Abject,cast down in spirit or hope
Abjure,to give up a belief or an activity
Ablaze,burning fiercely; in a blaze; on fire
Able-bodied,physically strong and healthy
Able,having the capability of doing something
Ablution,the act of washing or cleansing
Abnegation,the act of rejecting or refusing something 
Abnormal,out of the ordinary; unusual
Abnormality,a feature that is not normal or average
Aboard,"on board, into or within a ship or boat"
Abode ,the place where one resides or lives
Abolish,to put an end to
Abolition,the action of putting an end to something
Abolitionist,one who supports the elimination of practices or laws that are viewed as dangerous
Abominable,horrible; terrible
Abominate,to despise intensely
Abomination,something that is hated
Aboriginal,associated with being part of the original population; native
Abort,to stop something from happening any longer; to discontinue
Abortive ,an unproductive attempt
Abound,available in large quantity or number
Above,overhead or directly over the head
Above,at a higher layer or level than something else
Abraded,"to produce damage or irritation by scraping, rubbing, or crushing"
Abrasion,a spot or area that has been scraped or harshly rubbed
Abrasive,unlikeable; nasty
Abreast,remaining up to date on a topic
Abridge,to make shorter
Abroad,in foreign countries
Abrogate,to abolish; to do away with
Abrupt,without notice; sudden
Abruption,a sudden breaking away
Abruptly ,suddenly; without notice
Abscess,cavity filled with pus
Abscission,the natural shedding of parts of a plant
Abscond,escape into hiding; to leave quickly and hide to avoid punishment
Absence,being gone from a place or person
Absent-minded,describes a person who is forgetful or constantly distracted
Absent,not present; not in a place one is expected to be
Absenteeism,the practice of missing school or work without good reason
Absolute,"complete or total, undisputable"
Absolutely,"with no limitation, restriction, or caveat"
Absolution,"setting free from guilt, sin or penalty; forgiveness of an offense"
Absolve,"to make (someone) free from guilt, responsibility, etc."
Absorb,to take in or soak up a substance
Absorption,the act by which one substance takes in something or is taken in
Absquatulate,to depart hurriedly
Abstain,restrain oneself from doing or enjoying something
Abstemious,marked by moderation and holding back on indulgence
Abstention,a decision to not vote for or against a proposition
Abstinence,the act of not taking part in something
Abstract,being present as an idea but not in a definite form
Abstruse,difficult to understand
Absurd,"ridiculous, silly, foolish"
Absurdity,the quality of being ridiculous
Abundance,a large quantity; many
Abundant ,an ample amount
Abuse,Improper treatment
Abuse,to treat a person or animal in a cruel or mean way
Abuse,to mistreat or misuse something
Abusive,describing continuous violence or cruelty towards something or someone
Abut,to touch or lean on
Abysmal,very bad
Abyss,an area that appears endless and immeasurable
Academia,"the environment associated with researching, teaching, and learning at a college or university "
Academic,school-related; educational
Academy,a school or place of training in which some special art is taught
Accede,to agree with someone or give in to his or her wish
Accelerate,to increase the motion or growth
Acceleration,an escalation in pace or speed
Accent,a distinctive pronunciation of language often associated by nationality or culture
Accentuate,to highlight 
Accept,to agree to take or receive
Acceptable,satisfactory; adequate
Acceptance,the act of taking/receiving something that is being offered
Accepting,agreeing to take or receive something
Access,gain entrance to
Accessible,capable of being accessed
Accessory,"an article that completes one's basic outfit, such as a scarf or gloves"
Accident,unexpected event with negative consequences
Accidental,something happening unplanned or unforeseen
Acclaim,public praise and applause
Acclamation,loud praise or approval
Acclimate,to adapt to a new place or different conditions
Acclivity,an upward slope
Accolade,an acknowledgement or an award
Accommodate,to fulfill a request or meet the needs of 
Accommodating,inclined to make happy or content
Accommodation,"a place for someone to live, stay, or work"
Accompanied,joined by an item or a companion 
Accompaniment, a thing which is provided as a supplement to something else
Accompany,to go along with something or someone
Accompanying,appearing or going along with someone or something else
Accomplice,a person who helps another person perform a task that is usually criminal in nature
Accomplish,to achieve or complete something
Accomplished,to have achieved or completed something successfully
Accomplishment,a goal or success that is achieved because of hard work
Accord,agreement or concurrence of opinion
Accordance,to be in compliance with something or someone
Accordingly,in a suitable way
Accosted,forcefully confronted
Account,a statement of facts or occurrences
Accountability,the state of being accountable; responsible for
Accountable,held as liable for a person or thing
Accounting,the system of recording and managing financial transactions and accounts
Accoutrement,an accessory used in a specific situation or for a specific task
Accredit,to bestow official approval upon 
Accreditation,"formal endorsement of a person, school program, or organization"
Accretion,act of increasing by natural growth
Accrue,increase
Acculturation,a course by which a person’s or group’s culture is altered as a result of contact with another culture
Accumulate,to pile up or collect
Accuracy,the state of being correct or precise
Accurate,without mistakes
Accurately,"exactly, precisely"
Accusation,a charge or claim against someone in which they are accused of doing something wrong or illegal
Accusation,a charge or claim that someone has done something illegal or wrong
Accusatory,blaming a person or group for something
Accuse,attribute blame to someone
Accustom,to make familiar by use
Acerb,"sour, bitter, and sharp in taste"
Acerbic,expressing harsh or sharp criticism in a clever way
Acerbity ,"roughness or harshness, as in language or temperament"
Ache,"continious, but not strong pain"
Achieve,to successfully get or accomplish
Achievement,a thing done successfully
Achilles Heel,a crippling weakness in an otherwise impenetrable object
Achromatic,"for something to be colorless usually with black, white and grays"
Acidulous,harsh in manner or flavor
Acknowledge,to confirm or admit the truth about something
Acknowledgment,the act of recognizing or admitting the truth of something
Acme,the highest peak that is reachable
Acoustic,relating to sound or hearing
Acquaint,to become at ease with
Acquaintance,a person one knows slightly but not well
Acquainted,familiar with a specific subject or person
Acquiesce,to agree or express agreement
Acquiescent,"willing to acquiesce, accept or agree to something without objection, protest or resistance"
Acquire,to obtain something
Acquisition,the thing acquired or gained; a gain.
